kant,datum,naam,bedrag
"Knab zonder Kosten","2026-06-10","Derks Lease B.V.","1326.22"
"Knab zonder Kosten","2026-06-10","top-up via bunq","600.00"
"Knab zonder Kosten","2026-06-10","Derks Lease B.V.","470.61"
"Knab zonder Kosten","2026-06-15","GAMMA","489.30"
"Knab zonder Kosten","2026-06-15","GAMMA HAARLEM","108.19"
"Knab zonder Kosten","2026-06-15","BCK*Toolstation CG","17.64"
"Knab zonder Kosten","2026-06-18","top-up via bunq","100.00"
"Knab zonder Kosten","2026-06-18","PayPal Topup via Online Payments St","50.00"
"Knab zonder Kosten","2026-06-22","DERDENGELDEN BOUWMAAT","767.39"
"Knab zonder Kosten","2026-06-22","DERDENGELDEN BOUWMAAT","524.12"
"Knab zonder Kosten","2026-06-22","top-up via bunq","200.00"
"Knab zonder Kosten","2026-06-22","DERDENGELDEN BOUWMAAT","193.62"
"Knab zonder Kosten","2026-06-22","Derks Lease B.V.","139.13"
"Knab zonder Kosten","2026-06-22","CCV*STAM TANKSTATIONS","137.52"
"Knab zonder Kosten","2026-06-22","top-up via bunq","100.00"
"Knab zonder Kosten","2026-06-22","top-up via bunq","100.00"
"Knab zonder Kosten","2026-06-22","Derks Lease B.V.","97.13"
"Knab zonder Kosten","2026-06-22","glasdiscount.nl via MultiSafepay","64.44"
"Knab zonder Kosten","2026-06-22","Derks Lease B.V.","61.13"
"Knab zonder Kosten","2026-06-22","Online Deurbeslag Shop via MultiSaf","30.20"
"Knab zonder Kosten","2026-06-22","MS* VIAAMSTERDAM","3.30"
"Knab zonder Kosten","2026-06-24","CCV*Van Brenen Transpo","38.50"
"Knab zonder Kosten","2026-06-24","GoCardless Ltd","0.01"
"Knab zonder Kosten","2026-06-25","top-up via bunq","450.00"
"Knab zonder Kosten","2026-06-25","Total Nn001487 Beverwi","134.66"
"Knab zonder Kosten","2026-06-25","top-up via bunq","100.00"
"Knab zonder Kosten","2026-06-25","Booking","21.87"
"Knab zonder Kosten","2026-06-25","Total Vissers De Ijsse","19.81"
"Knab zonder Kosten","2026-06-25","MS* VIAAMSTERDAM","3.39"
"Knab zonder Kosten","2026-06-25","BNG*Gemeente Diemen","1.50"
"Knab zonder Kosten","2026-06-25","BNG*Gemeente Diemen","0.70"
"Knab zonder Kosten","2026-06-26","Booking","21.87"
"Knab zonder Kosten","2026-06-26","MS* VIAAMSTERDAM","3.39"
"Knab zonder Kosten","2026-06-29","top-up via bunq","400.00"
"Knab zonder Kosten","2026-06-29","CCV*Bouwcenter RAB Alk","225.00"
"Knab zonder Kosten","2026-06-29","Online Deurbeslag Shop via MultiSaf","21.34"
"Knab zonder Kosten","2026-07-01","Derks Lease B.V.","1294.76"
"Knab zonder Kosten","2026-07-01","Bouwmaat Haarlem","327.69"
"Knab zonder Kosten","2026-07-01","Bouwmaat Haarlem","314.43"
"Knab zonder Kosten","2026-07-01","Derks Lease B.V.","96.13"
"Knab zonder Kosten","2026-07-01","KNAB","3.30"
"Knab zonder Kosten","2026-07-02","Derks Lease B.V.","154.13"
"Knab zonder Kosten","2026-07-02","Toolstation via PayPal (Europe)","75.65"
"Knab zonder Kosten","2026-07-02","Bouwmaat Haarlem","20.26"
"Knab zonder Kosten","2026-07-03","GC RE WERKSPOT","1028.50"
"Knab zonder Kosten","2026-07-03","Bouwmaat Alkmaar","215.73"
"Knab zonder Kosten","2026-07-06","HomingXL via MultiSafepay","1207.50"
"Knab zonder Kosten","2026-07-06","top-up via bunq","1000.00"
"Knab zonder Kosten","2026-07-06","HomingXL via MultiSafepay","257.00"
"Knab zonder Kosten","2026-07-06","HE1801 Gamma Zeist","251.68"
"Knab zonder Kosten","2026-07-06","Total Nn001487 Beverwi","144.28"
"Knab zonder Kosten","2026-07-06","Bouwmaat Haarlem","109.19"
"Knab zonder Kosten","2026-07-06","BCK*Praxis 2271 Vianen","41.99"
"Knab zonder Kosten","2026-07-06","hp2401GammaH'hugowaa","35.57"
"Knab zonder Kosten","2026-07-06","BCK*SHELL HAARRIJN","15.31"
"Knab zonder Kosten","2026-07-06","Taffne Bv","15.00"
"Knab zonder Kosten","2026-07-06","Toolstation via PayPal (Europe)","12.50"
"Knab zonder Kosten","2026-07-07","Gamma Rott.Charlois","21.99"
"Knab zonder Kosten","2026-07-07","NL0724 SHELL STATION M","3.10"
"Knab zonder Kosten","2026-07-07","NL0724 SHELL STATION M","3.10"
"Knab zonder Kosten","2026-07-08","Kentekenplaten, Fun + Luxeplaten...","16.94"
"Knab zonder Kosten","2026-07-09","Bouwmaat Amersfoort","513.71"
"Knab zonder Kosten","2026-07-09","Bos Houtbedrijf BVHout","307.20"
"Knab zonder Kosten","2026-07-09","Gamma Epe","7.23"
"Knab zonder Kosten","2026-07-10","Bouwmaat Amersfoort","459.41"
"Knab zonder Kosten","2026-07-10","Bouwmaat Amersfoort","360.02"
"Knab zonder Kosten","2026-07-13","Bouwmaat Alkmaar","2312.19"
"Knab zonder Kosten","2026-07-13","Bouwmaat Amersfoort","1017.76"
"Knab zonder Kosten","2026-07-13","ESSO ISSELT","126.33"
"Knab zonder Kosten","2026-07-13","Bouwmaat Alkmaar","125.39"
"Knab zonder Kosten","2026-07-13","Derks Lease B.V.","95.13"
"Knab zonder Kosten","2026-07-13","HD8201GammaA'foort","87.47"
"Knab zonder Kosten","2026-07-13","HP2101Gamma K. ad Z","50.95"
"Knab zonder Kosten","2026-07-13","KARWEI BARENDRECHT","37.06"
"Knab zonder Kosten","2026-07-13","Argos Zeist","29.37"
"Knab zonder Kosten","2026-07-13","Total Nn001657 Bodegra","20.03"
"Knab zonder Kosten","2026-07-13","Booking","15.31"
"Knab zonder Kosten","2026-07-13","MS* VIAAMSTERDAM","3.39"
"Knab zonder Kosten","2026-07-14","PIVADA verhuur","211.50"
"Knab zonder Kosten","2026-07-14","CCV*Van Brenen Transpo","141.75"
"Knab zonder Kosten","2026-07-14","CCV*Van Brenen Transpo","63.00"
"Knab zonder Kosten","2026-07-14","BCK*Toolstation NL B.V","43.29"
"Knab zonder Kosten","2026-07-14","BCK*SHELL DE LUCHT WES","9.92"
"Knab zonder Kosten","2026-07-14","Bp De Engh","3.10"
"Knab zonder Kosten","2026-07-15","top-up via bunq","500.00"
"Knab zonder Kosten","2026-07-15","DERDENGELDEN BOUWMAAT","122.38"
"Knab zonder Kosten","2026-07-17","Media Markt TV-HiFi-El","33.98"
"Knab zonder Kosten","2026-07-20","top-up via bunq","250.00"
"Knab zonder Kosten","2026-07-20","BCK*Toolstation AH","241.66"
"Knab zonder Kosten","2026-07-20","top-up via bunq","200.00"
"Knab zonder Kosten","2026-07-20","Vroegop Timmerwerken","200.00"
"Knab zonder Kosten","2026-07-20","GABRIELS MAASMECHELEN","122.24"
"Knab zonder Kosten","2026-07-20","Derks Lease B.V.","95.13"
"Knab zonder Kosten","2026-07-20","Selecta Netherlands B","3.65"
"Knab zonder Kosten","2026-07-21","Stichting Derdengelden Creman via S","727.73"
"Knab zonder Kosten","2026-07-21","Bouwmaat Haarlem","320.40"
"Knab zonder Kosten","2026-07-21","Bouwmaat Haarlem","50.82"
"Knab zonder Kosten","2026-07-21","BCK*Toolstation AH","2.71"
"Knab zonder Kosten","2026-07-22","Bouwmaat Haarlem","25.59"
"Knab zonder Kosten","2026-07-23","DSG Bouwmaten B.V.","2831.83"
"Knab zonder Kosten","2026-07-23","BCK*Shell E Santpoort","20.27"
"Knab zonder Kosten","2026-07-24","BCK*Toolstation CG","36.63"
"Knab zonder Kosten","2026-07-24","ESSO EXPRESS VELSERBRO","29.85"
"Knab zonder Kosten","2026-07-24","Parkeren A'dam 15504","2.69"
"Knab zonder Kosten","2026-07-27","DERDENGELDEN BOUWMAAT","1801.17"
"Knab zonder Kosten","2026-07-27","top-up via bunq","1000.00"
"Knab zonder Kosten","2026-07-27","BCK*Bouwmaat Sloterdij","406.76"
"Knab zonder Kosten","2026-07-27","xxldirect.nl","313.28"
"Knab zonder Kosten","2026-07-27","Bouwmaat Amsterdam B.V.","286.48"
"Knab zonder Kosten","2026-07-27","BCK*Bouwmaat Amstel","101.57"
"Knab zonder Kosten","2026-07-27","Derks Lease B.V.","52.13"
"Knab zonder Kosten","2026-07-27","Total Express Zaandam","49.00"
"Knab zonder Kosten","2026-07-27","BP Larserdreef","31.07"
"Knab zonder Kosten","2026-07-27","BP Larserdreef","30.64"
"Knab zonder Kosten","2026-07-27",".","9.60"
"Knab zonder Kosten","2026-07-28","BOUWMAAT R'DAM ZUID","194.58"
"Knab zonder Kosten","2026-07-28","BOUWMAAT R'DAM ZUID","110.43"
"Knab zonder Kosten","2026-07-28","OK Rotterdam HS","46.84"
"Knab zonder Kosten","2026-07-29","BCK*Bouwmaat Sloterdij","72.23"
"Knab zonder Kosten","2026-07-30","BCK*GSSP RIJSWIJK","171.36"
"Knab zonder Kosten","2026-07-30","BOUWMAAT R'DAM ZUID","15.20"
"Knab zonder Kosten","2026-07-31","BCK*Bouwmaat Amstel","137.84"
"Knab zonder Kosten","2026-07-31","BP KADOELEN","19.69"
"Knab zonder Kosten","2026-08-03","Derks Lease B.V.","1294.76"
"Knab zonder Kosten","2026-08-03","BCK*Toolstation AG","356.25"
"Knab zonder Kosten","2026-08-03","Esso Pijnacker Ruyven","169.26"
"Knab zonder Kosten","2026-08-03","HP2101Gamma K. ad Z","133.69"
"Knab zonder Kosten","2026-08-03","BOUWMAAT R'DAM-ZUID","35.49"
"Knab zonder Kosten","2026-08-03","HP2101Gamma K. ad Z","16.49"
"Knab zonder Kosten","2026-08-03","BCK*Toolstation AH","11.88"
"Knab zonder Kosten","2026-08-03","ESSO UITGEEST RIJKSWEG","3.50"
"Knab zonder Kosten","2026-08-04","BCK*Bouwmaat Amstel","257.53"
"Knab zonder Kosten","2026-08-04","GC RE WERKSPOT","231.11"
"Knab zonder Kosten","2026-08-06","top-up via bunq","100.00"
"Knab zonder Kosten","2026-08-07","top-up via bunq","250.00"
"Knab zonder Kosten","2026-08-10","Toelevering Online via MultiSafepay","804.70"
"Knab zonder Kosten","2026-08-10","top-up via bunq","200.00"
"Knab zonder Kosten","2026-08-10","BCK*Shell Stat Thorbec","121.16"
"Knab zonder Kosten","2026-08-10","plintenfabriek.nl","62.07"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","49.12"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","22.33"
"Knab zonder Kosten","2026-08-10","Total Nn001244 Zeewold","3.90"
"Knab zonder Kosten","2026-08-10","HP2101Gamma K. ad Z","0.46"
"Knab zonder Kosten","2026-08-11","Moments&More Veentje","6.95"
"Knab zonder Kosten","2026-08-12","KPN - Mobiel","40.00"
"Knab zonder Kosten","2026-08-12","Total Nn001244 Zeewold","3.90"
"Knab zonder Kosten","2026-08-13","KPN - Mobiel","342.89"
"Knab zonder Kosten","2026-08-14","BCK*Bouwmaat Sloterdij","323.90"
"Knab zonder Kosten","2026-08-14","Total Nn001244 Zeewold","167.70"
